stem	role	ratio	card_crop
gatakers-bay-rock-flats-low-tide	hero	16:9	4:3
gatakers-bay-waterline-high-tide	inline	3:2	none
gatakers-bay-boat-ramp-channel-low-tide	inline	3:2	none
gatakers-bay-boat-ramp-high-tide	inline	3:2	none
gatakers-bay-fish-cleaning-tables	inline	4:3	none
gatakers-bay-offshore-reef-low-tide	hero	16:9	4:3
gatakers-bay-rock-pool-marine-life	inline	4:3	none
gatakers-bay-winter-sunset-over-water	hero	16:9	square
gatakers-bay-shore-fishing-clear-space	hero	16:9	4:3
gatakers-bay-ramp-lighting-dusk	inline	3:2	none
gatakers-bay-esplanade-trailhead	inline	3:2	none
gatakers-bay-curve-golden-hour	inline	16:10	none
esa-park-playground-and-foreshore	hero	16:9	4:3
esa-park-turtle-friendly-lighting	inline	4:5	none
esa-park-accessible-toilet-and-path	inline	4:3	none
esa-park-rock-pools-low-tide	hero	16:9	4:3
esa-park-shoreline-high-tide	inline	3:2	none
esa-park-shared-path	inline	3:2	none
esa-park-barbecue-picnic-shelter	inline	4:3	none
esa-park-dog-boundary-sign	inline	4:5	none
black-stump-park-playground-foreshore	hero	16:9	square
black-stump-park-facilities	inline	4:3	none
black-stump-park-barbecue-shelter	inline	4:3	none
black-stump-park-to-gatakers-ramp-path	inline	3:2	none
black-stump-park-shoreline	inline	3:2	none
black-stump-park-dog-area-sign	inline	4:5	none
black-stump-park-accessible-route	inline	3:2	none
the-gables-northern-point-wide-horizon	hero	16:9	4:3
the-gables-winter-sunset	hero	16:9	4:3
the-gables-osprey-nest-pole	inline	4:5	none
the-gables-picnic-shelter-water-view	inline	4:3	none
aplin-street-boat-ramp-low-tide	inline	3:2	none
aplin-street-boat-ramp-high-tide	inline	3:2	none
dunns-enclosure-spring-low-tide	hero	16:9	4:3
gables-point-beach-long-view	hero	16:9	4:3
the-gables-shorebird-signage	inline	4:5	none
the-gables-dog-boundary-sign	inline	4:5	none
the-gables-esplanade-path-connection	inline	3:2	none
parraweena-park-eucalypt-bushland	hero	16:9	4:3
parraweena-park-stone-footbridge	inline	4:3	none
parraweena-park-wishing-well-remains	inline	4:3	none
parraweena-park-walking-trail	inline	3:2	none
parraweena-park-bench-seats	inline	4:3	none
parraweena-park-spence-corser-entry	inline	3:2	none
parraweena-park-trail-detail	inline	4:3	none
webb-park-playground-and-court	hero	16:9	square
webb-park-playground	inline	4:3	none
webb-park-basketball-court	inline	4:3	none
webb-park-shelter-and-seating	inline	4:3	none
webb-park-murphy-street-entry	inline	3:2	none
polson-cemetery-corser-street-entry	inline	3:2	none
polson-cemetery-south-sea-islander-memorial	hero	16:9	none
polson-cemetery-path-and-headstones	inline	3:2	none
polson-cemetery-quiet-grounds	inline	3:2	none
polson-cemetery-memorial-detail	inline	4:3	none
esplanade-trail-point-vernon-shared-path	hero	16:9	4:3
charlton-esplanade-walkers-early-morning	hero	16:9	4:3
charlton-esplanade-step-free-path	hero	16:9	4:3
charlton-esplanade-seating-water-view	inline	4:3	none
charlton-esplanade-wayfinding-sign	inline	4:5	none
charlton-esplanade-cyclist-long-view	inline	3:2	none
charlton-esplanade-high-tide-foreshore	inline	3:2	none
charlton-esplanade-low-tide-foreshore	hero	16:9	4:3
charlton-esplanade-dog-on-leash	inline	3:2	none
point-vernon-foreshore-arrival	hero	16:9	4:3
brew-and-view-149-charlton-esplanade	inline	4:3	none
point-vernon-takeaway-preston-street	inline	4:3	none
preston-street-shops-wide-view	hero	16:9	4:3
point-vernon-butchery-shopfront	inline	4:3	none
point-vernon-grocer-shopfront	inline	4:3	none
murphy-street-services-precinct	inline	3:2	none
vernon-five-ways-intersection	inline	3:2	none
vernon-5-ways-52-corser-street	inline	4:3	none
corser-street-neighbourhood-services	inline	3:2	none
